Date,DaySum,DaySumIrr,Pac,Pdc,SolIrr,Time,TmpAmb,TmpMod,Wind,Pdc_pred,Absolute_Percent_diff
18-11-30,5400.0,80.0,17005.0,17405.0,248.0,06:55:00,20.0,24.0,1.2,16661.332,4.272725521507911
18-11-20,0.0,0.0,488.0,447.0,5.0,05:10:00,17.0,17.0,0.8,354.51175,20.690883569819412
18-08-30,10200.0,123.0,28121.0,28788.0,349.0,07:00:00,18.0,21.0,1.1,23453.537,18.530162093091782
2018-03-16 00:00:00,72500.0,1123.0,64108.0,65843.0,1146.0,08:45:00,33.0,67.0,0.9,65036.21,1.2253203361684717
18-11-17,11800.0,166.0,28497.0,29105.0,433.0,06:20:00,27.0,34.0,0.8,29044.604,0.20751203587120629
18-09-17,71100.0,1035.0,51860.0,53458.0,804.0,08:20:00,30.0,47.0,0.9,53963.207,0.9450529805247989
18-11-20,396900.0,5629.0,49231.0,50211.0,707.0,14:25:00,32.0,51.0,1.4,47442.117,5.514493170637543
2018-03-12 00:00:00,310500.0,4960.0,60941.0,62725.0,1059.0,15:05:00,29.0,59.0,2.4,62869.965,0.23111143450473126
18-12-01,568100.0,8757.0,58701.0,60052.0,916.0,16:10:00,28.0,57.0,2.9,59109.35,1.5697222189368736
18-08-23,198200.0,2742.0,50803.0,52211.0,782.0,11:15:00,31.0,53.0,3.3,52491.754,0.5377308556244998
18-09-29,59500.0,845.0,41850.0,42682.0,628.0,08:50:00,30.0,41.0,2.1,42127.836,1.2983560863773935
18-07-24,195400.0,2816.0,48805.0,50652.0,766.0,14:15:00,23.0,42.0,3.0,51463.047,1.601210385525687
18-08-28,443100.0,6065.0,517.0,605.0,7.0,17:40:00,19.0,19.0,2.8,473.78064,21.689152856134182
2018-03-18 00:00:00,92800.0,1378.0,57352.0,58870.0,961.0,08:40:00,25.0,50.0,0.7,57440.934,2.4274965306180474
2018-03-25 00:00:00,1700.0,26.0,4907.0,4958.0,74.0,06:40:00,20.0,22.0,0.0,4973.534,0.3133166264314313
18-06-30,430900.0,5902.0,34288.0,35264.0,249.0,16:20:00,23.0,34.0,1.9,16727.73,52.564283794708246
18-06-17,199200.0,2594.0,51821.0,53087.0,919.0,11:15:00,27.0,46.0,2.0,57790.59,8.860156164105181
18-07-14,71300.0,985.0,60898.0,62294.0,926.0,10:30:00,27.0,48.0,2.3,58469.082,6.14010759941145
18-05-15,25900.0,413.0,31174.0,31764.0,463.0,08:05:00,25.0,34.0,1.3,31077.729,2.1605336648092894
18-09-14,533900.0,7315.0,34914.0,35770.0,527.0,16:35:00,31.0,50.0,0.8,35363.46,1.1365379039422066
18-08-21,170700.0,2425.0,61785.0,63005.0,864.0,10:55:00,31.0,49.0,3.7,57525.86,8.696357820367218
18-08-24,230000.0,3234.0,52766.0,54212.0,801.0,11:50:00,30.0,41.0,3.9,53742.305,0.8664018437755666
18-04-13,412500.0,5884.0,521.0,500.0,6.0,17:40:00,20.0,20.0,0.5,401.66122,19.667753726243973
18-08-30,543900.0,7940.0,118.0,123.0,2.0,17:50:00,19.0,20.0,0.6,142.611,15.943896902225365
18-09-24,122500.0,1740.0,57502.0,58692.0,883.0,10:00:00,32.0,49.0,2.0,57972.312,1.2262116263819904
18-05-20,258900.0,3914.0,57613.0,59181.0,1112.0,12:30:00,29.0,56.0,1.8,62815.668,6.14161146462414
18-06-15,105300.0,2677.0,22042.0,22476.0,322.0,12:40:00,24.0,37.0,0.0,21629.652,3.765560564864978
18-11-24,104500.0,1561.0,24250.0,24835.0,367.0,10:00:00,24.0,32.0,2.7,24634.746,0.8063357889664184
18-05-24,338700.0,4659.0,54742.0,55858.0,792.0,14:10:00,26.0,48.0,2.3,53197.668,4.762669512620225
18-11-17,501400.0,7603.0,39077.0,40482.0,706.0,16:20:00,34.0,55.0,0.7,47367.754,17.00942531521804
18-07-24,12800.0,188.0,17745.0,18258.0,251.0,08:25:00,15.0,22.0,0.6,16905.508,7.4076656698984795
18-08-26,171200.0,2404.0,54620.0,56082.0,860.0,10:20:00,30.0,55.0,1.5,56962.293,1.5696500576382926
18-12-03,525200.0,7713.0,47151.0,48405.0,783.0,15:15:00,35.0,67.0,0.8,52562.453,8.58888968913076
18-08-14,334700.0,4441.0,57202.0,58523.0,820.0,13:35:00,28.0,49.0,0.9,55062.43,5.913180930374555
18-11-18,247600.0,3619.0,63768.0,65605.0,1110.0,10:30:00,38.0,60.0,1.6,65256.867,0.5306503611197565
18-09-28,98200.0,1409.0,50368.0,51447.0,780.0,09:45:00,35.0,51.0,2.8,52313.73,1.6847076162429098
18-07-28,312300.0,4067.0,32163.0,33212.0,341.0,13:10:00,25.0,41.0,0.0,22907.223,31.027273481816508
18-04-22,21700.0,343.0,29448.0,30017.0,699.0,07:55:00,23.0,31.0,1.4,46203.12,53.92318317819238
2018-03-25 00:00:00,113500.0,1802.0,64459.0,66023.0,1146.0,10:45:00,33.0,59.0,1.2,64201.836,2.758378697841331
18-06-22,138600.0,1432.0,47278.0,48618.0,768.0,10:00:00,26.0,43.0,0.0,51006.94,4.913697461353383
18-07-20,281700.0,4133.0,27497.0,28264.0,413.0,13:25:00,22.0,32.0,2.1,27743.018,1.8432703549282257
18-04-24,120700.0,1692.0,59645.0,60876.0,921.0,09:50:00,29.0,48.0,1.7,58292.74,4.243483267050397
18-05-21,76500.0,768.0,54682.0,56041.0,587.0,08:40:00,24.0,33.0,2.2,39409.59,29.67721600831273
18-04-21,200.0,4.0,1456.0,1452.0,19.0,06:20:00,13.0,13.0,0.0,1322.1018,8.946153538470917
18-05-25,245900.0,4195.0,8209.0,8406.0,157.0,16:05:00,24.0,33.0,2.0,10537.979,25.36257824499551
18-06-23,122300.0,1521.0,22406.0,23131.0,567.0,10:20:00,21.0,37.0,2.0,38107.12,64.74480712662708
18-07-25,300.0,4.0,1157.0,1211.0,17.0,06:40:00,6.0,6.0,0.0,1219.438,0.6967765698247916
18-07-20,115200.0,1677.0,56743.0,57950.0,844.0,10:05:00,23.0,43.0,0.8,54111.527,6.623769475016951
18-04-30,100.0,1.0,787.0,758.0,11.0,06:15:00,10.0,11.0,0.0,808.03613,6.6010731387893316
18-11-30,7000.0,101.0,28914.0,29941.0,414.0,06:55:00,20.0,28.0,1.2,27818.617,7.08855086244708
18-06-28,195500.0,5928.0,243.0,247.0,4.0,17:30:00,16.0,18.0,0.0,300.44254,21.63665396376298
18-06-16,109400.0,1742.0,54455.0,55656.0,742.0,10:05:00,27.0,49.0,0.4,49835.207,10.458517825104847
18-12-03,25800.0,403.0,28605.0,29147.0,442.0,07:40:00,32.0,43.0,2.6,29625.246,1.640805789699364
18-11-21,318900.0,5260.0,43609.0,44488.0,675.0,14:45:00,38.0,55.0,1.1,45247.586,1.7073977177916138
18-11-28,19900.0,299.0,25379.0,26058.0,409.0,07:10:00,25.0,41.0,0.0,27472.992,5.430163835946682
18-09-16,50700.0,752.0,50788.0,52223.0,798.0,07:50:00,31.0,57.0,1.1,53579.18,2.5969019921917154
2018-03-26 00:00:00,121900.0,1745.0,33060.0,33976.0,611.0,10:10:00,33.0,54.0,1.4,40995.305,20.659599517945097
18-04-28,365600.0,5182.0,60531.0,61800.0,767.0,14:35:00,32.0,52.0,0.6,51474.21,16.70839529014328
18-07-14,222100.0,3073.0,2245.0,2435.0,34.0,16:55:00,20.0,23.0,0.8,2290.0337,5.953443699059304
18-12-03,223100.0,3282.0,61223.0,63276.0,1089.0,09:55:00,35.0,66.0,0.5,64003.47,1.1496765629833288
18-11-30,184600.0,2801.0,30532.0,31158.0,402.0,11:20:00,25.0,32.0,2.2,26975.553,13.423348461390233
18-08-25,531900.0,7209.0,10712.0,10940.0,454.0,16:50:00,25.0,42.0,1.9,30495.854,178.75551644038458
18-09-26,45300.0,643.0,36990.0,37721.0,559.0,08:25:00,30.0,39.0,1.6,37489.582,0.6134971309854194
18-11-20,2200.0,28.0,8314.0,8464.0,106.0,05:45:00,20.0,20.0,0.0,7116.4116,15.921412432999382
18-05-16,23900.0,371.0,21562.0,21985.0,332.0,08:35:00,22.0,33.0,4.1,22305.705,1.4587418691987832
18-12-04,0.0,0.0,144.0,118.0,3.0,05:05:00,16.0,17.0,0.0,230.43924,95.28749619878954
18-09-28,2800.0,47.0,8335.0,8600.0,142.0,06:30:00,23.0,25.0,0.5,9518.696,10.6825127677862
18-09-21,287900.0,4027.0,60675.0,61952.0,915.0,12:50:00,31.0,51.0,3.7,59287.97,4.300156097535877
18-05-30,425200.0,5894.0,23041.0,23481.0,297.0,16:05:00,27.0,39.0,1.1,19927.137,15.135057017890615
18-04-30,149500.0,2142.0,55390.0,57075.0,890.0,10:35:00,28.0,48.0,0.8,56684.49,0.6842066204657562
2018-03-16 00:00:00,248700.0,3845.0,62988.0,64858.0,791.0,12:10:00,34.0,62.0,1.1,53094.676,18.137046053383916
18-08-24,428100.0,5864.0,5741.0,5811.0,192.0,17:05:00,23.0,30.0,3.1,12888.182,121.78939147960541
18-05-25,29600.0,520.0,28102.0,28764.0,487.0,09:50:00,24.0,36.0,1.3,32704.502,13.699420086781483
18-08-31,300800.0,4060.0,61522.0,62906.0,901.0,12:00:00,29.0,47.0,2.6,58642.266,6.777947410560695
18-11-29,78300.0,1104.0,25655.0,26123.0,405.0,09:45:00,27.0,35.0,0.8,27167.44,3.9981598356291013
18-11-16,99800.0,1448.0,51733.0,52847.0,793.0,09:20:00,32.0,47.0,2.2,53204.42,0.6763306399795836
18-09-29,167200.0,2407.0,51852.0,53364.0,828.0,10:10:00,33.0,46.0,1.8,55542.297,4.08195624036255
18-05-22,224800.0,3720.0,59821.0,61535.0,941.0,13:55:00,27.0,51.0,1.4,58310.99,5.239314497112887
18-11-17,221000.0,3277.0,62357.0,64276.0,1045.0,10:05:00,36.0,59.0,2.1,63425.312,1.3234942741596984
18-11-23,146500.0,1923.0,31120.0,31752.0,435.0,11:25:00,27.0,44.0,3.6,29205.336,8.02048282445784
18-11-26,0.0,0.0,569.0,517.0,6.0,05:05:00,18.0,20.0,0.0,421.24762,18.520770880539594
18-07-29,241500.0,3193.0,58678.0,60081.0,849.0,12:00:00,27.0,50.0,1.4,56574.14,5.836884626740078
18-06-15,166100.0,3532.0,18851.0,19411.0,293.0,15:35:00,24.0,34.0,0.0,19673.912,1.3544506307154596
2018-03-24 00:00:00,269600.0,4129.0,33257.0,33935.0,456.0,14:30:00,29.0,46.0,1.6,30603.408,9.817567283702875
18-06-16,249900.0,3313.0,61046.0,62368.0,722.0,12:25:00,27.0,46.0,0.0,48484.06,22.2613233841646
18-08-20,124500.0,1776.0,56407.0,57570.0,829.0,10:15:00,29.0,47.0,2.4,55650.24,3.3346548870617463
18-07-27,432700.0,5946.0,37218.0,37950.0,492.0,15:35:00,24.0,39.0,2.2,33048.1,12.916724012774441
18-05-17,112300.0,1550.0,15808.0,16076.0,221.0,13:35:00,22.0,29.0,2.4,14842.628,7.672133831560808
18-04-19,12100.0,196.0,21015.0,21405.0,559.0,07:25:00,25.0,34.0,0.0,37524.52,75.30726425783068
18-06-19,314100.0,4659.0,49325.0,50581.0,784.0,13:50:00,26.0,48.0,0.8,52643.508,4.077636649988016
18-11-25,7600.0,113.0,8089.0,8252.0,114.0,07:25:00,19.0,24.0,0.0,7674.6006,6.997083534156586
18-05-14,383600.0,4995.0,12424.0,12623.0,173.0,14:40:00,28.0,35.0,0.0,11581.124,8.253788678910325
18-07-19,263500.0,3589.0,20762.0,21323.0,292.0,12:30:00,20.0,28.0,0.7,19627.475,7.951625525680236
18-04-30,187400.0,2460.0,58395.0,60152.0,952.0,10:30:00,26.0,41.0,0.6,56736.465,5.678173852880067
18-07-26,275500.0,3626.0,55390.0,56770.0,790.0,12:10:00,28.0,44.0,1.3,53033.5,6.581818091527081
18-05-30,163900.0,2197.0,49706.0,50888.0,751.0,10:35:00,27.0,48.0,1.0,50436.176,0.8878830084165802
18-04-20,421000.0,5739.0,49401.0,50447.0,345.0,16:10:00,31.0,43.0,1.2,23122.984,54.163805289809815
18-09-24,57500.0,834.0,49702.0,51312.0,756.0,08:00:00,26.0,41.0,3.8,50759.33,1.0770842851156128
18-11-22,209200.0,3034.0,62472.0,64235.0,1050.0,10:15:00,37.0,63.0,2.5,63532.844,1.093102841374656
18-06-17,60500.0,661.0,48948.0,50511.0,574.0,08:40:00,23.0,35.0,1.0,38552.973,23.67410759620827
18-04-23,336200.0,5103.0,52462.0,53764.0,638.0,15:05:00,27.0,43.0,0.0,42835.406,20.326970702223054
18-11-27,135800.0,1880.0,2928.0,2935.0,43.0,17:20:00,18.0,20.0,0.0,2905.563,1.0029659690605157
18-07-19,284100.0,4060.0,21397.0,21835.0,297.0,14:00:00,21.0,32.0,2.8,19963.418,8.571479111425328
18-08-14,55600.0,728.0,49318.0,50447.0,683.0,08:25:00,23.0,34.0,2.6,45867.543,9.077761529928567
18-05-19,205800.0,3404.0,14055.0,14500.0,342.0,12:10:00,23.0,32.0,1.4,22966.752,58.39139794481212
2018-03-08 00:00:00,348300.0,5706.0,23490.0,23918.0,288.0,16:40:00,30.0,38.0,2.3,19290.258,19.348362123341218
18-07-15,1900.0,27.0,3428.0,3458.0,48.0,07:40:00,15.0,18.0,0.0,3264.3647,5.599630451257549
18-04-21,105300.0,1348.0,35215.0,36717.0,627.0,09:25:00,25.0,37.0,0.0,42098.867,14.657702871821785
18-09-28,117800.0,1613.0,55332.0,56811.0,841.0,09:20:00,33.0,52.0,2.5,56431.79,0.6674968561149484
18-04-19,245200.0,3764.0,50877.0,52388.0,792.0,12:15:00,28.0,43.0,0.8,52925.773,1.026522948959094
18-06-22,187100.0,2148.0,48171.0,49518.0,956.0,10:55:00,27.0,48.0,2.7,59361.617,19.878866413095185
18-06-13,32900.0,383.0,43331.0,44858.0,456.0,08:25:00,17.0,26.0,4.0,30659.584,31.651915840173757
18-11-28,1400.0,21.0,2995.0,3000.0,45.0,05:55:00,18.0,21.0,0.0,3042.7102,1.4236705005168968
18-11-16,200.0,4.0,1217.0,1200.0,19.0,05:25:00,17.0,16.0,1.7,1290.9711,7.580924360081559
